customer_id,customer_segment,total_spent,total_orders,last_purchase,country
12346,cannot_lose_them,77556.46,12,2011-01-18 10:01:00,United Kingdom
12347,champion,4921.530000000000095,8,2011-12-07 15:52:00,Iceland
12348,loyal_customer,2019.399999999999994,5,2011-09-25 13:13:00,Finland
12349,champion,4428.689999999999969,4,2011-11-21 09:51:00,Italy
12350,Lost Customers,334.400000000000006,1,2011-02-02 16:01:00,Norway
12351,Lost Customers,300.930000000000002,1,2010-11-29 15:23:00,Unspecified
12352,champion,2849.840000000000006,10,2011-11-03 14:37:00,Norway
12353,At Risk,406.760000000000002,2,2011-05-19 17:47:00,Bahrain
12354,Lost Customers,1079.400000000000016,1,2011-04-21 13:11:00,Spain
12355,At Risk,947.610000000000020,2,2011-05-09 13:49:00,Bahrain
12356,champion,6371.7300000000000904,6,2011-11-17 08:40:00,Portugal
12357,potential_loyalist,18287.660000000000293,3,2011-11-06 16:07:00,Switzerland
12358,champion,3887.070000000000010,5,2011-12-08 10:26:00,Austria
12359,champion,8873.390000000000074,10,2011-10-13 12:47:00,Cyprus
12360,champion,4252.889999999999999,8,2011-10-18 15:22:00,Austria
12361,At Risk,511.250000000000005,4,2011-02-25 13:51:00,Belgium
12362,champion,5356.230000000000027,11,2011-12-06 15:40:00,Belgium
12363,need_attention,552.000000000000012,2,2011-08-22 10:18:00,Unspecified
12364,champion,1313.100000000000004,4,2011-12-02 10:22:00,Belgium
12365,At Risk,641.380000000000017,2,2011-02-21 14:04:00,Cyprus
12366,At Risk,500.24,1,2010-03-16 10:28:00,Cyprus
12367,new_customer,168.9,1,2011-12-05 16:48:00,Denmark
12368,At Risk,917.699999999999994,1,2010-03-21 15:56:00,Cyprus
12369,At Risk,1791.1500000000000175,3,2010-10-22 13:13:00,Austria
12370,champion,1051.820000000000022,4,2010-12-17 09:38:00,Austria
12370,champion,3264.7400000000000264,3,2011-10-19 14:51:00,Cyprus
12371,champion,4067.380000000000056,5,2011-10-26 10:16:00,Switzerland
12372,need_attention,1298.040000000000018,3,2011-09-29 12:12:00,Denmark
12373,At Risk,1127.650000000000037,3,2011-02-01 13:10:00,Austria
12374,champion,2989.220000000000034,4,2011-11-14 15:37:00,Austria
12375,potential_loyalist,457.500000000000006,2,2011-11-29 10:36:00,Finland
12376,At Risk,503.149999999999999,2,2010-11-15 12:15:00,Switzerland
12377,cannot_lose_them,3426.320000000000014,4,2011-01-28 15:45:00,Switzerland
12378,need_attention,5416.3200000000000345,2,2011-08-02 10:34:00,Switzerland
12379,loyal_customer,1620.219999999999985,4,2011-09-19 10:09:00,Belgium
12380,champion,9676.300000000000041,11,2011-11-18 11:27:00,Belgium
12381,champion,1845.310000000000028,5,2011-12-05 12:44:00,Norway
12383,loyal_customer,1850.560000000000011,5,2011-06-08 08:02:00,Belgium
12384,potential_loyalist,585.270000000000009,2,2011-11-11 08:39:00,Switzerland
12385,At Risk,1938.400000000000013,1,2010-11-25 15:14:00,Belgium
12386,At Risk,401.899999999999993,2,2011-01-06 12:37:00,Australia
12387,Lost Customers,143.939999999999997,1,2010-10-20 16:27:00,Australia
12388,champion,3901.110000000000093,8,2011-11-24 12:30:00,Australia
12389,At Risk,1433.330000000000007,3,2010-11-02 11:52:00,Australia
12390,need_attention,549.840000000000006,1,2011-09-21 09:33:00,Belgium
12391,champion,2724.8400000000000175,6,2011-11-18 12:07:00,Cyprus
12392,Lost Customers,234.750000000000021,1,2010-04-27 14:04:00,Australia
12393,loyal_customer,2399.450000000000059,6,2011-09-28 15:41:00,Australia
12394,need_attention,381.079999999999991,1,2011-05-06 14:01:00,Belgium
12394,need_attention,891.399999999999996,1,2011-10-07 08:08:00,Denmark
12395,champion,4721.1700000000000730,15,2011-11-20 15:21:00,Belgium
12396,At Risk,931.430000000000013,1,2010-02-03 13:22:00,RSA
12397,potential_loyalist,2409.900000000000024,2,2011-11-04 09:52:00,Belgium
12398,potential_loyalist,1635.660000000000008,1,2011-10-25 10:27:00,Switzerland
12399,loyal_customer,1962.3000000000000423,7,2011-08-12 13:15:00,Belgium
12400,Lost Customers,205.250000000000006,1,2010-10-21 13:45:00,Australia
12401,At Risk,84.30,1,2011-02-09 13:50:00,Belgium
12402,cannot_lose_them,1256.900000000000018,6,2011-01-20 13:49:00,Belgium
12403,potential_loyalist,1019.36,2,2011-10-21 10:51:00,Denmark
12404,At Risk,63.24,1,2010-01-26 16:25:00,Finland
12405,need_attention,1710.390000000000048,1,2011-07-14 08:52:00,Finland
12406,champion,6390.360000000000162,5,2011-11-17 19:22:00,Denmark
12407,champion,1708.120000000000012,5,2011-10-21 10:11:00,Belgium
12408,champion,4340.769999999999975,8,2011-11-07 12:27:00,Belgium
12409,loyal_customer,23419.290000000000060,7,2011-09-22 10:38:00,Switzerland
12410,At Risk,1013.709999999999997,3,2011-02-04 10:39:00,Switzerland
12411,Lost Customers,346.900000000000002,1,2010-10-26 09:25:00,Australia
12412,loyal_customer,2596.930000000000026,6,2011-09-26 10:16:00,Denmark
12413,need_attention,758.100000000000018,3,2011-10-04 09:00:00,France
12413,need_attention,241.350000000000004,1,2010-11-02 13:26:00,Spain
12414,cannot_lose_them,952.410000000000002,6,2011-05-06 14:51:00,Austria
12415,champion,144458.369999999999747,28,2011-11-15 14:22:00,Australia
12416,Lost Customers,202.5600000000000070,1,2010-02-21 10:19:00,Australia
12417,champion,6159.0500000000000725,18,2011-12-06 14:52:00,Belgium
12417,champion,638.360000000000015,2,2011-04-28 13:09:00,Spain
12418,loyal_customer,2021.200000000000018,4,2011-08-19 11:08:00,Switzerland
12419,At Risk,503.0100000000000185,2,2010-11-19 10:04:00,Spain
12420,need_attention,600.390000000000004,1,2011-10-07 08:55:00,Cyprus
12421,loyal_customer,1098.600000000000013,6,2011-11-24 09:07:00,Spain
12422,loyal_customer,2808.10,8,2011-09-05 09:48:00,Australia
12422,loyal_customer,2423.7000000000000185,9,2011-06-24 13:20:00,Switzerland
12423,champion,2323.590000000000031,9,2011-12-09 10:10:00,Belgium
12423,champion,298.799999999999995,1,2010-08-31 09:31:00,Denmark
12424,loyal_customer,3340.030000000000070,4,2011-06-30 12:06:00,Australia
12425,need_attention,1741.4100000000000163,2,2011-09-22 17:31:00,Portugal
12426,At Risk,1345.210000000000025,2,2011-05-29 12:26:00,Germany
12427,potential_loyalist,825.799999999999990,3,2011-11-18 08:56:00,Germany
12428,champion,7956.4600000000000905,9,2011-11-14 08:22:00,Finland
12429,champion,437.980000000000006,1,2011-04-26 11:44:00,Austria
12429,champion,5766.4300000000000835,7,2011-11-30 17:22:00,Denmark
12430,promising,256.400000000000000,1,2011-10-27 15:09:00,Norway
12431,champion,7699.789999999999942,21,2011-11-04 11:55:00,Australia
12431,champion,2732.430000000000044,6,2011-10-10 14:49:00,Belgium
12432,champion,5059.320000000000102,5,2011-10-28 11:43:00,Norway
12433,champion,16794.1400000000000728,10,2011-12-09 10:02:00,Norway
12434,need_attention,1103.430000000000017,3,2011-09-16 12:38:00,Australia
12435,loyal_customer,13925.930000000000363,6,2011-09-21 09:06:00,Denmark
12436,need_attention,509.010000000000021,1,2011-09-01 12:09:00,Norway
12437,champion,12683.3999999999999785,39,2011-12-08 11:35:00,France
12438,potential_loyalist,2906.850000000000040,2,2011-11-25 13:28:00,Norway
12439,At Risk,1142.880000000000029,2,2010-01-26 12:11:00,Cyprus
12440,At Risk,859.200000000000002,2,2010-09-03 13:11:00,Austria
12441,Lost Customers,173.550000000000012,1,2010-12-08 10:45:00,France
12442,new_customer,172.060000000000007,1,2011-12-06 14:22:00,Spain
12443,At Risk,485.310000000000007,1,2009-12-07 15:42:00,Norway
12444,champion,5005.460000000000021,5,2011-11-18 13:23:00,Norway
12445,potential_loyalist,434.980000000000017,2,2011-11-17 18:43:00,Spain
12446,potential_loyalist,1002.310000000000016,1,2011-10-13 12:50:00,RSA
12447,At Risk,476.489999999999994,1,2011-04-10 13:25:00,Belgium
12448,potential_loyalist,449.4499999999999945,1,2011-10-26 13:46:00,Spain
12449,champion,4067.290000000000062,4,2011-11-17 13:46:00,Belgium
12449,champion,768.599999999999994,2,2010-10-25 12:21:00,Denmark
12450,loyal_customer,688.200000000000014,5,2011-07-06 14:41:00,Spain
12451,champion,12669.8799999999999635,8,2011-11-29 08:40:00,Switzerland
12452,potential_loyalist,430.570000000000003,2,2011-11-23 10:28:00,Switzerland
12453,need_attention,707.090000000000000,1,2011-07-28 14:08:00,Austria
12454,champion,16679.77999999999988,5,2011-10-14 17:13:00,Spain
12455,loyal_customer,5111.9900000000000745,6,2011-02-17 17:05:00,Cyprus
12455,loyal_customer,767.960000000000011,4,2011-09-27 15:31:00,Spain
12456,potential_loyalist,3181.0400000000000285,3,2011-10-26 14:41:00,Switzerland
12457,loyal_customer,392.70,2,2011-10-04 13:13:00,Cyprus
12457,loyal_customer,2603.209999999999968,6,2011-09-15 14:25:00,Switzerland
12458,loyal_customer,1777.4900000000000115,4,2011-09-29 15:25:00,Switzerland
12459,At Risk,454.360000000000001,1,2010-04-13 14:53:00,Spain
12460,Lost Customers,326.650000000000001,1,2010-09-09 13:51:00,Belgium
12461,need_attention,826.8800000000000015,2,2011-09-06 16:57:00,Switzerland
12462,potential_loyalist,1189.590000000000014,2,2011-11-21 09:11:00,Spain
12463,champion,1344.780000000000010,4,2011-10-17 13:44:00,Belgium
12464,loyal_customer,1212.049999999999973,8,2011-11-29 13:33:00,Belgium
12465,potential_loyalist,742.190000000000005,2,2011-11-22 16:34:00,Belgium
12466,At Risk,56.73,1,2010-01-26 16:26:00,France
12467,Lost Customers,132.800000000000003,1,2010-10-12 15:41:00,USA
12468,loyal_customer,3670.740000000000001,5,2011-06-05 11:36:00,Germany
12469,At Risk,3070.540000000000014,2,2010-07-05 12:40:00,Thailand
12470,Lost Customers,211.950000000000002,1,2010-01-19 11:01:00,Unspecified
12471,champion,39918.189999999999864,79,2011-12-07 15:43:00,Germany
12472,champion,16249.2899999999999755,19,2011-11-07 14:01:00,Germany
12473,champion,3928.0499999999999865,5,2011-11-10 13:46:00,Germany
12474,champion,12372.7499999999999742,31,2011-11-22 14:39:00,Germany
12475,potential_loyalist,1149.640000000000002,2,2011-10-17 10:10:00,Germany
12476,champion,14083.9100000000001435,23,2011-11-24 12:40:00,Germany
12477,champion,20276.3700000000001023,9,2011-11-17 09:51:00,Germany
12478,potential_loyalist,680.990000000000014,1,2011-12-06 09:56:00,Greece
12479,potential_loyalist,527.2000000000000045,1,2011-11-28 13:26:00,Germany
12480,champion,5464.850000000000017,7,2011-11-11 14:52:00,Germany
12481,champion,12185.5099999999999555,15,2011-11-17 08:29:00,Germany
12482,cannot_lose_them,23691.400000000000130,29,2010-05-12 16:51:00,Sweden
12483,champion,5097.180000000000151,19,2011-11-22 17:02:00,Sweden
12484,champion,6354.1000000000000397,12,2011-11-07 11:37:00,Spain
12485,At Risk,708.100000000000014,1,2010-06-28 15:22:00,Sweden
12486,At Risk,1037.280000000000028,1,2010-10-04 12:14:00,Sweden
12487,Lost Customers,285.29999999999998,1,2009-12-09 11:36:00,Sweden
12488,potential_loyalist,1298.6600000000000265,3,2011-11-30 08:50:00,France
12489,Lost Customers,334.929999999999996,1,2011-01-07 13:13:00,France
12490,champion,9823.6400000000000590,21,2011-12-04 16:07:00,France
12491,potential_loyalist,460.400000000000015,1,2011-11-01 12:18:00,France
12492,need_attention,715.210000000000002,3,2011-10-07 15:15:00,Germany
12493,need_attention,433.740000000000003,2,2011-06-27 10:17:00,France
12494,champion,1815.2700000000000335,9,2011-11-24 09:34:00,France
12495,Lost Customers,357.400000000000007,1,2010-03-09 10:53:00,Sweden
12496,At Risk,45.340000000000001,2,2010-03-29 14:06:00,Spain
12497,need_attention,6248.500000000000189,3,2011-09-19 12:29:00,Germany
12498,potential_loyalist,403.700000000000021,3,2011-11-18 12:53:00,Germany
12499,Lost Customers,393.720000000000003,1,2010-05-28 15:12:00,Germany
12500,champion,5955.2100000000000655,19,2011-11-16 16:20:00,Germany
12501,At Risk,2169.3900000000000350,1,2011-01-07 12:28:00,Germany
12502,loyal_customer,3723.870000000000009,5,2011-09-05 11:52:00,Spain
12503,Lost Customers,1126.0,1,2010-05-04 13:59:00,Spain
12504,potential_loyalist,779.049999999999993,4,2011-11-21 16:02:00,Germany
12505,At Risk,955.200000000000009,1,2010-10-27 09:18:00,Italy
12506,At Risk,73.50,1,2011-04-21 08:54:00,France
12507,loyal_customer,1844.060000000000001,4,2011-07-28 17:09:00,Spain
12508,potential_loyalist,397.8800000000000031,2,2011-11-13 15:37:00,France
12509,Lost Customers,176.5,1,2011-02-28 14:45:00,France
12510,loyal_customer,5178.020000000000003,9,2011-07-20 10:15:00,Spain
12511,At Risk,3084.0200000000000765,1,2010-10-07 10:39:00,Greece
12512,need_attention,132.179999999999998,2,2011-10-04 14:55:00,Israel
12513,need_attention,612.289999999999992,1,2011-08-19 10:51:00,France
12514,At Risk,1597.759999999999993,2,2011-03-17 16:38:00,Italy
12515,Lost Customers,383.700000000000006,1,2010-12-21 15:43:00,Italy
12516,loyal_customer,2648.620000000000022,4,2011-09-23 09:13:00,Germany
12517,champion,2481.6000000000000007,5,2011-11-11 14:04:00,Germany
12518,champion,2056.890000000000025,5,2011-12-09 10:13:00,Germany
12519,need_attention,716.540000000000005,2,2011-10-07 09:26:00,Germany
12520,loyal_customer,2634.260000000000014,5,2011-09-21 15:23:00,Germany
12521,need_attention,599.679999999999998,1,2011-07-20 10:51:00,Germany
12522,potential_loyalist,192.720000000000002,2,2011-10-31 15:30:00,Germany
12523,champion,4352.3500000000000705,23,2011-11-20 12:55:00,France
12524,champion,11126.1099999999999120,17,2011-11-30 15:31:00,Germany
12525,At Risk,973.730000000000024,3,2010-07-29 16:08:00,France
12526,potential_loyalist,1316.660000000000015,3,2011-12-09 12:09:00,Germany
12527,loyal_customer,735.510000000000036,5,2011-09-19 11:55:00,Germany
12528,champion,1933.480000000000024,6,2011-11-30 14:40:00,Germany
12529,Lost Customers,316.480000000000011,1,2010-06-29 13:10:00,France
12530,loyal_customer,3759.260000000000039,9,2011-10-11 12:34:00,Germany
12531,potential_loyalist,1933.200000000000009,2,2011-11-25 11:12:00,Germany
12532,promising,349.830000000000014,1,2011-11-09 13:47:00,France
12533,At Risk,1367.8900000000000045,2,2010-03-22 10:56:00,Germany
12534,Other,1089.179999999999982,1,2011-08-01 10:26:00,Germany
12535,need_attention,716.350000000000010,2,2011-09-09 08:48:00,France
12536,potential_loyalist,12601.8299999999999965,3,2011-10-27 14:20:00,France
12537,At Risk,732.940000000000012,1,2010-10-27 08:36:00,Sweden
12538,potential_loyalist,640.449999999999999,2,2011-11-10 17:16:00,Spain
12539,champion,11214.7500000000002500,7,2011-11-17 13:30:00,Spain
12540,champion,22254.490000000000151,33,2011-11-20 11:31:00,Spain
12541,potential_loyalist,981.180000000000011,3,2011-11-10 10:40:00,Spain
12542,At Risk,481.8800000000000075,2,2010-08-12 19:12:00,Spain
12543,At Risk,980.250000000000016,1,2010-09-17 15:51:00,Spain
12544,promising,372.700000000000006,1,2011-11-03 16:15:00,Spain
